House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Marsh Turnpike,Megan,Bibi,42,Head,Divorced,Female,Retail merchandiser,None,None
1,Marsh Turnpike,Callum,Bibi,4,Adopted Son,NA,Male,Child,None,NA
2,Marsh Turnpike,Leslie,Stephenson,52,Head,Married,Male,"Research officer, political party",None,Christian
2,Marsh Turnpike,Katie,Stephenson,53,Wife,Married,Female,Unemployed,None,None
3,Marsh Turnpike,Valerie,Houghton,37,Head,Married,Female,Magazine journalist,None,Christian
3,Marsh Turnpike,Danny,Houghton,39,Husband,Married,Male,Theatre manager,None,None
3,Marsh Turnpike,Donald,Houghton,1,Son,NA,Male,Child,None,NA
3,Marsh Turnpike,Graeme,Houghton,0,Son,NA,Male,Child,None,NA
4,Marsh Turnpike,Damian,Bird,39,Head,Married,Male,Animator,None,Christian
4,Marsh Turnpike,Helen,Bird,40,Wife,Married,Female,"Surveyor, commercial/residential",None,Christian
5,Marsh Turnpike,Lauren,Reed,40,Head,Divorced,Female,"Administrator, sports",None,None
5,Marsh Turnpike,Mathew,Savage,42,Cousin,Single,Male,Occupational hygienist,None,None
6,Marsh Turnpike,Helen,Turner,44,Head,Married,Female,Tourist information centre manager,None,Catholic
6,Marsh Turnpike,Shane,Turner,46,Husband,Married,Male,"Merchandiser, retail",None,Catholic
6,Marsh Turnpike,Elizabeth,Turner,15,Daughter,NA,Female,Student,None,NA
6,Marsh Turnpike,Oliver,Turner,12,Son,NA,Male,Student,None,NA
6,Marsh Turnpike,Toby,Turner,12,Son,NA,Male,Student,None,NA
7,Marsh Turnpike,Grace,Edwards,44,Head,Single,Female,Tree surgeon,None,None
7,Marsh Turnpike,Mohammad,Edwards,17,Son,NA,Male,Student,None,NA
7,Marsh Turnpike,Clive,Edwards,16,Son,NA,Male,Student,None,NA
7,Marsh Turnpike,Josh,Edwards,14,Son,NA,Male,Student,None,NA
7,Marsh Turnpike,Natasha,Edwards,13,Daughter,NA,Female,Student,None,NA
8,Marsh Turnpike,Laura,Noble,77,Head,Widowed,Female,Unemployed,None,Christian
8,Marsh Turnpike,Cameron,Noble,42,Son,Divorced,Male,Consulting civil engineer,None,None
8,Marsh Turnpike,Natalie,Noble,40,Daughter,Single,Female,"Education officer, museum",None,Christian
8,Marsh Turnpike,Stanley,Noble,35,Son,Single,Male,Veterinary surgeon,None,Christian
8,Marsh Turnpike,Rosie,Noble,33,Daughter,Single,Female,Public affairs consultant,None,Christian
9,Marsh Turnpike,Abigail,Patel-Frost,27,Head,Married,Female,Pension scheme manager,None,Catholic
9,Marsh Turnpike,Phillip,Patel-Frost,30,Husband,Married,male,"Engineer, water",None,Catholic
10,Marsh Turnpike,Gillian,Lee,54,Head,Married,Female,Fine artist,None,Christian
10,Marsh Turnpike,Howard,Lee,56,Husband,Married,Male,"Teacher, secondary school",None,Christian
10,Marsh Turnpike,Yvonne,Lee,27,Daughter,Divorced,Female,Secondary school teacher,None,Christian
11,Marsh Turnpike,Georgina,Jones,59,Head,Married,Female,Trading standards officer,None,None
11,Marsh Turnpike,Howard,Jones,58,Husband,Married,Male,Chief Executive Officer,None,None
12,Marsh Turnpike,Ronald,Buckley,56,Head,Divorced,Male,Economist,None,Christian
13,Marsh Turnpike,Emily,Lowe,55,Head,Single,Female,Unemployed,None,None
13,Marsh Turnpike,Andrea,King,41,None,Single,Female,"Surveyor, quantity",None,Christian
13,Marsh Turnpike,Dale,Reed,30,None,Single,Male,Unemployed,None,Christian
13,Marsh Turnpike,Ricky,Smith,37,None,Single,Male,Personnel officer,None,None
13,Marsh Turnpike,Christine,Taylor,36,None,Single,Female,Editorial assistant,None,Christian
14,Marsh Turnpike,David,Green,51,Head,Single,Male,Chief Executive Officer,None,None
14,Marsh Turnpike,Joe,Mann,54,None,Single,Male,Unemployed,None,Christian
14,Marsh Turnpike,Georgia,Baxter,24,None,Single,Female,Historic buildings inspector/conservation officer,None,None
15,Marsh Turnpike,June,Gill,33,Head,Married,Female,"Scientist, research (life sciences)",None,None
15,Marsh Turnpike,Benjamin,Gill,38,Husband,Married,Male,Quarry manager,None,None
15,Marsh Turnpike,Hilary,Brown,44,Lodger,Divorced,Female,Sports therapist,None,None
16,Marsh Turnpike,Paula,Davies-Green,41,Head,Single,Female,Public librarian,None,Catholic
16,Marsh Turnpike,Lawrence,Davies-Green,13,Son,NA,Male,Student,None,NA
16,Marsh Turnpike,Dominic,Davies-Green,9,Son,NA,Male,Student,None,NA
16,Marsh Turnpike,Gail,Davies-Green,6,Daughter,NA,Female,Student,None,NA
17,Marsh Turnpike,Jack,Jones,40,Head,Single,Male,Politician's assistant,None,Christian
17,Marsh Turnpike,Leon,Robson,36,None,Single,Male,"Production assistant, radio",None,None
17,Marsh Turnpike,Jay,Hudson,42,None,Single,Male,Politician's assistant,None,None
17,Marsh Turnpike,Clive,Riley,50,None,Single,Male,Unemployed,None,Methodist
18,Marsh Turnpike,William,Black,81,Head,Widowed,Male,Retired Midwife,None,Catholic
19,Marsh Turnpike,Zoe,Lowe,38,Head,Married,Female,Communications engineer,None,Christian
19,Marsh Turnpike,Joe,Lowe,40,Husband,Married,Male,"Psychologist, counselling",None,Christian
19,Marsh Turnpike,Victor,Barker-Lowe,13,Son,NA,Male,Student,None,NA
19,Marsh Turnpike,Susan,Barker-Lowe,9,Daughter,NA,Female,Student,None,NA
19,Marsh Turnpike,Steven,Barker-Lowe,6,Son,NA,Male,Student,None,NA
20,Marsh Turnpike,Charles,Williams-Barnes,78,Head,Married,Male,Retired Information officer,None,Christian
20,Marsh Turnpike,Natasha,Williams-Barnes,77,Wife,Married,Female,"Retired Scientist, biomedical",None,Christian
20,Marsh Turnpike,Eileen,Hilton,21,Granddaughter,Widowed,Female,"Editor, commissioning",None,None
20,Marsh Turnpike,Clare,Hilton,14,Granddaughter,NA,Female,Student,None,NA
20,Marsh Turnpike,Natalie,Hilton,13,Granddaughter,NA,Female,Student,None,NA
20,Marsh Turnpike,Abigail,Leonard,9,Granddaughter,NA,Female,Student,None,NA
21,Marsh Turnpike,Jean,Roberts,38,Head,Divorced,Female,Maintenance engineer,None,Christian
21,Marsh Turnpike,Jeremy,Roberts,0,Son,NA,Male,Child,None,NA
22,Marsh Turnpike,Judith,Thomson,42,Head,Single,Female,Unemployed,None,Christian
22,Marsh Turnpike,Annette,Thomson,9,Daughter,NA,Female,Student,None,NA
23,Marsh Turnpike,Deborah,Wood,28,Head,Married,Female,Consulting civil engineer,None,None
23,Marsh Turnpike,Declan,Wood,31,Husband,Married,Male,Retail banker,None,None
23,Marsh Turnpike,Andrew,Wood,5,Son,NA,Male,Student,None,NA
23,Marsh Turnpike,Joel,Bailey,40,Lodger,Single,Male,"Nurse, learning disability",None,None
23,Marsh Turnpike,Carole,Gibbons,56,Visitor,Single,Female,"Designer, ceramics/pottery",None,None
24,Marsh Turnpike,Karen,Wilkinson,56,Head,Single,Female,Firefighter,None,None
24,Marsh Turnpike,Grace,Wilkinson,19,Daughter,Single,Female,University Student,None,None
25,Marsh Turnpike,Graeme,Woodward,48,Head,Single,Male,Unemployed,None,Catholic
25,Marsh Turnpike,Lindsey,Gilbert,50,None,Single,Female,Mental health nurse,None,None
25,Marsh Turnpike,Ross,Mitchell,46,None,Single,Male,Information officer,None,Catholic
25,Marsh Turnpike,Vanessa,Mann,36,None,Single,Female,Aeronautical engineer,None,Christian
26,Marsh Turnpike,Ruth,Davis,85,Head,Married,Female,"Retired Engineer, maintenance",None,None
26,Marsh Turnpike,Keith,Davis,88,Husband,Married,Male,"Retired Administrator, charities/voluntary organisations",None,None
27,Marsh Turnpike,Ronald,Dodd,21,Head,Single,Male,University Student,None,Catholic
27,Marsh Turnpike,Rita,Williams,21,None,Single,Female,University Student,None,Christian
28,Marsh Turnpike,Victoria,Poole,62,Head,Married,Female,Probation officer,None,Christian
28,Marsh Turnpike,Douglas,Poole,63,Husband,Married,Male,Educational psychologist,None,Christian
28,Marsh Turnpike,Tina,Poole,18,Daughter,Single,Female,Student,None,None
28,Marsh Turnpike,Geoffrey,Poole,14,Son,NA,Male,Student,None,NA
28,Marsh Turnpike,Keith,Poole,10,Son,NA,Male,Student,None,NA
29,Marsh Turnpike,Mary,Reid,74,Head,Married,Female,Retired Print production planner,None,Christian
29,Marsh Turnpike,Billy,Reid,72,Husband,Married,Male,Retired Garment/textile technologist,None,Christian
30,Marsh Turnpike,Joel,Miller,36,Head,Single,Male,Magazine journalist,None,None
30,Marsh Turnpike,Barbara,Sullivan,39,Partner,Single,Female,IT technical support officer,None,None
31,Marsh Turnpike,Victoria,Robinson,43,Head,Married,Female,Industrial/product designer,None,Christian
31,Marsh Turnpike,Russell,Robinson,44,Husband,Married,Male,"Development worker, community",None,Christian
31,Marsh Turnpike,Sian,Robinson,13,Daughter,NA,Female,Student,None,NA
32,Marsh Turnpike,Hayley,Williams,32,Head,Married,Female,Social worker,None,None
32,Marsh Turnpike,Thomas,Williams,34,Husband,Married,Male,Exhibition designer,None,None
33,Marsh Turnpike,Leah,Turner,56,Head,Single,Female,Education administrator,None,None
33,Marsh Turnpike,Eleanor,Price,32,None,Single,Female,Press photographer,None,None
34,Marsh Turnpike,Rita,Barry,47,Head,Married,Female,Unemployed,None,None
34,Marsh Turnpike,Edward,Barry,50,Husband,Married,Male,"Accountant, chartered certified",None,None
34,Marsh Turnpike,Naomi,Barry,21,Daughter,Single,Female,University Student,None,None
34,Marsh Turnpike,Frances,Barry,19,Daughter,Single,Female,University Student,None,None
34,Marsh Turnpike,Charlene,Barry,16,Daughter,NA,Female,Student,None,NA
35,Marsh Turnpike,Cameron,Newman,79,Head,Widowed,Male,Retired Warden/ranger,None,Christian
35,Marsh Turnpike,Alice,Jones,15,Granddaughter,NA,Female,Student,None,NA
36,Marsh Turnpike,Rosie,Clark,36,Head,Single,Female,"Education officer, environmental",None,None
36,Marsh Turnpike,Lisa,Smith,47,None,Single,Female,International aid/development worker,None,None
36,Marsh Turnpike,Gerard,Griffiths,60,None,Single,Male,"Surveyor, hydrographic",None,Christian
36,Marsh Turnpike,Abbie,Martin,37,None,Single,Female,"Engineer, materials",None,None
36,Marsh Turnpike,Donna,Read,26,None,Single,Female,Retail merchandiser,None,None
37,Marsh Turnpike,Rosie,Lloyd,27,Head,Married,Female,Hospital doctor,None,None
37,Marsh Turnpike,Roy,Lloyd,30,Husband,Married,Male,Animal nutritionist,None,None
37,Marsh Turnpike,Anna,Matthews,60,Lodger,Single,Female,"Designer, exhibition/display",None,None
38,Marsh Turnpike,Julian,Smith,61,Head,Single,Male,Water quality scientist,None,None
39,Marsh Turnpike,Rachel,Stewart,33,Head,Single,Female,"Teacher, primary school",None,None
39,Marsh Turnpike,Karl,Stewart,6,Son,NA,Male,Student,None,NA
40,Marsh Turnpike,Olivia,Clarke,70,Head,Married,Female,Retired Licensed conveyancer,None,Christian
40,Marsh Turnpike,Nathan,Clarke,72,Husband,Married,Male,Retired Food technologist,None,None
41,Marsh Turnpike,Georgina,Gould,67,Head,Widowed,Female,"Producer, radio",None,Christian
41,Marsh Turnpike,Holly,Gould,40,Daughter,Single,Female,"Psychologist, sport and exercise",None,Christian
42,Marsh Turnpike,Shane,Taylor,61,Head,Married,Male,"Therapist, occupational",None,None
42,Marsh Turnpike,Denise,Taylor,61,Wife,Married,Female,Forensic psychologist,None,None
43,Marsh Turnpike,Clifford,Richardson,54,Head,Married,Male,IT consultant,None,Christian
43,Marsh Turnpike,Margaret,Richardson,52,Wife,Married,Female,"Conservation officer, historic buildings",None,Christian
44,Marsh Turnpike,Elizabeth,Farmer,31,Head,Married,Female,"Exhibitions officer, museum/gallery",None,Catholic
